Source,Target,Weight,If_across,Type,Category
Bathium Canada Inc.,ACEP Inc ,1,1,directed,Mobility
"Board of Regents, The University of Texas System ",ACEP Inc ,1,1,directed,Mobility
Centre de la Recherche Scientifique ,ACEP Inc ,1,1,directed,Mobility
Centre National de la Rechecch Scientifique ,ACEP Inc ,3,1,directed,Mobility
Abbott Laboratories ,"Achaogen, Inc.",1,1,directed,Mobility
"Isis Pharmaceuticals, Inc.","Achaogen, Inc.",1,1,directed,Mobility
Merck & Co. Inc.,Actelion Pharmaceuticals Ltd.,5,1,directed,Mobility
Clinical Research Institute of Montreal ,Adaerata Limited Partnership ,1,0,directed,Mobility
McGill Univeristy ,Adaerata Limited Partnership ,1,1,directed,Mobility
McGill Univeristy ,Adherex Technologies ,2,1,directed,Mobility
Ogilvie Mills Ltd.,"ADM Agri-Industries, Ltd.",3,0,directed,Mobility
Martin R&F Inc.,Advanced Bioconcept ,1,1,directed,Mobility
"PerkinElmer LAS, Inc.",Advanced Bioconcept ,2,1,directed,Mobility
Bio-Chem Pharma Inc.,Aegera Therapeutics Inc.,1,1,directed,Mobility
Pharmascience Inc.,Aegera Therapeutics Inc.,7,1,directed,Mobility
Bio-Chem Pharma Inc.,Aenorasis SA Pharmaceuticals and Medical Devices ,1,1,directed,Mobility
Kotinos Pharmaceuticals Inc.,Aenorasis SA Pharmaceuticals and Medical Devices ,3,1,directed,Mobility
Alcan Research & Development Limited ,Alcan Internatinal Limited ,3,0,directed,Mobility
Alcon International Limited ,Alcan Internatinal Limited ,2,0,directed,Mobility
BL Technology Limited ,Alcan Internatinal Limited ,2,1,directed,Mobility
National Research Coucil of Canada ,Alethia Biotherapeutics Inc.,3,1,directed,Mobility
Enobia Pharma ,"Alexion Pharmaceuticals, Inc.",4,1,directed,Mobility
McGill Univeristy ,Ambrilia Biopharma Inc.,1,1,directed,Mobility
Pharmacor Inc.,Ambrilia Biopharma Inc.,1,1,directed,Mobility
"TaiMed Biologics, Inc.",Ambrilia Biopharma Inc.,2,1,directed,Mobility
Air Liquide Canada ,American Air Liquide Inc.,1,1,undirected,Cooperation
"Quebepharma Recherche, Inc.",American Diagnostica Inc.,5,1,directed,Mobility
"Averst McKenna & Harrison, Inc.",American Home Products Corp.,1,1,directed,Mobility
"Ayerst, McKeena & Harrison, Inc.",American Home Products Corp.,18,1,directed,Mobility
Centre National de la Rechecch Scientifique ,"Amicus Therapeutics, Inc.",1,1,directed,Mobility
Universite d'Angers ,"Amicus Therapeutics, Inc.",1,1,directed,Mobility
Conjuchem Biotechnologies Inc.,Angiochem Inc.,1,0,directed,Mobility
Gemin X Biotechnologies ,Angiochem Inc.,1,0,directed,Mobility
Transfert Plus ,Angiochem Inc.,1,0,directed,Mobility
Institut National de Recherche Scientifique ,APTALIS PHARMA CANADA ULC ,2,1,directed,Mobility
"Biosyntech Canada, Inc.",Archer Daniels Midland Company ,1,1,directed,Mobility
ACADEMISCH ZIKENHUIS LEIDEN ,ARIZONA BOARD OF REGENTS ,1,1,undirected,Cooperation
Aktiebolaget Astra ,Astra AB ,2,0,directed,Mobility
Bio-Chem Pharma Inc.,Astra AB ,2,1,directed,Mobility
Bio-Mega Boehringer Ingelheim Research Inc.,Astra AB ,1,1,directed,Mobility
Abbott Laboratories ,AstraZeneca A.B.,1,1,directed,Mobility
Astra Pharma Inc.,AstraZeneca A.B.,1,1,directed,Mobility
Bio-Chem Pharma Inc.,AstraZeneca A.B.,1,1,directed,Mobility
Her Majesty the Queen in Right of Canada as represented by the National ,AstraZeneca A.B.,1,1,directed,Mobility
National Research Coucil of Canada ,AstraZeneca A.B.,3,1,directed,Mobility
Neomed Institute ,AstraZeneca A.B.,4,1,directed,Mobility
"Ayerst, McKeena & Harrison, Inc.","Averst McKenna & Harrison, Inc.",3,0,directed,Mobility
Merck & Co. Inc.,"Axys Pharmaceuticals, Inc.",3,1,directed,Mobility
Merck Frosst Company ,"Axys Pharmaceuticals, Inc.",6,1,directed,Mobility
American Home Products Corp.,"Ayerst, McKeena & Harrison, Inc.",4,1,directed,Mobility
Ayerst.,"Ayerst, McKeena & Harrison, Inc.",2,0,directed,Mobility
Michigan Cancer Foundation ,Barbara Ann Karmanos Cancer Institute ,4,0,directed,Mobility
DNA Landmarks Inc.,BASF Plant Science GmbH ,5,1,directed,Mobility
ACEP Inc ,Bathium Canada Inc.,2,1,directed,Mobility
Centre de la Recherche Scientifique ,Bathium Canada Inc.,2,1,directed,Mobility
Centre National de la Rechecch Scientifique ,Bathium Canada Inc.,2,1,directed,Mobility
Clariant ,Bathium Canada Inc.,2,1,directed,Mobility
Johnson Matthey Public Limited Company ,Bathium Canada Inc.,2,1,directed,Mobility
BHI Limited Partnership ,Bellus Health Inc.,10,0,directed,Mobility
Astar Biotech LLC ,Beta Pharma Canada Inc.,1,1,undirected,Cooperation
Merck & Co. Inc.,Beta Pharma Canada Inc.,1,1,directed,Mobility
New England Deaconess Hospital ,Beth Israel Deaconess Medical Center ,2,0,directed,Mobility
Bio-Chem Pharma Inc.,BHI Limited Partnership ,2,0,directed,Mobility
"DANA-FARBER CANCER INSTITUTE, INC.",BHI Limited Partnership ,1,1,directed,Mobility
Kong; Xianqi ,BHI Limited Partnership ,1,1,directed,Mobility
Merck Frosst Company ,BHI Limited Partnership ,2,1,directed,Mobility
Pharmacor Inc.,BHI Limited Partnership ,1,0,directed,Mobility
Biochem Immunosystems Inc.,Bio-Chem Pharma Inc.,1,1,directed,Mobility
Biochem Therapeutics Incorporated ,Bio-Chem Pharma Inc.,2,0,directed,Mobility
"IAF BioChem International, Inc.",Bio-Chem Pharma Inc.,3,1,directed,Mobility
Merck & Co. Inc.,Bio-Chem Pharma Inc.,1,1,directed,Mobility
"Ayerst, McKeena & Harrison, Inc.",Bio-Mega Boehringer Ingelheim Research Inc.,1,1,directed,Mobility
Bio-Mega Inc.,Bio-Mega Boehringer Ingelheim Research Inc.,10,0,directed,Mobility
Boehringer Ingelheim ,Bio-Mega Boehringer Ingelheim Research Inc.,2,1,directed,Mobility
Institut Armand Frappier ,BIOAMBER INC.,1,1,directed,Mobility
Advanced Bioconcept ,"Bioartificial Gel Technologies Inc, ",1,1,directed,Mobility
Martin R&F Inc.,"Bioartificial Gel Technologies Inc, ",1,0,directed,Mobility
Angiochem Inc.,"biOasis Technologies, Inc.",1,1,directed,Mobility
Universite d'Angers ,Bioaxone Therapeutique Inc.,1,1,directed,Mobility
Ibex Technologies ,BioMarin Pharmaceutical Inc.,2,1,directed,Mobility
Bioniche Urology IP Inc.,Bioniche Life Sciences Inc.,3,1,directed,Mobility
"Bionicrie Life Sciences, Inc.",Bioniche Life Sciences Inc.,1,0,directed,Mobility
"Bionicrie Life Sciences, Inc.",Bioniche Urology IP Inc.,3,0,directed,Mobility
Bio Syntech ,"Biosyntech Canada, Inc.",3,0,directed,Mobility
Boehringer Ingelheim ,Biota Scientific Management Pty Ltd ,1,1,directed,Mobility
Rougier Inc.,"Biotech Cardio-Vision, Societe en Commandite Enregistree ",1,0,directed,Mobility
Bitumar R. & D.,Bitumar R. & D.,1,1,directed,Mobility
Alcan Internatinal Limited ,BL Technology Limited ,2,1,undirected,Cooperation
Bio-Mega Boehringer Ingelheim Research Inc.,Boehringer Ingelheim ,2,1,directed,Mobility
Bio-Mega Inc.,Boehringer Ingelheim ,3,1,directed,Mobility
Boehringer Ingelheim International GmbH ,Boehringer Ingelheim ,8,1,directed,Mobility
Merck Frosst Company ,Boehringer Ingelheim ,1,0,directed,Mobility
Bio-Mega Boehringer Ingelheim Research Inc.,Boehringer Ingelheim International GmbH ,1,1,directed,Mobility
Bio-Mega Inc.,Boehringer Ingelheim International GmbH ,1,1,directed,Mobility
Boehringer Ingelheim ,Boehringer Ingelheim International GmbH ,4,1,directed,Mobility
Delmar Chemicals ,Boehringer Ingelheim International GmbH ,1,1,directed,Mobility
"Gilead Sciences, Inc.",Boehringer Ingelheim International GmbH ,11,1,directed,Mobility
Merck Frosst Company ,Boehringer Ingelheim International GmbH ,3,1,directed,Mobility
Noranda Inc.,BRAV METAL TECHNOLOGIES INC.,1,1,directed,Mobility
Royal Canadian Mint ,BRAV METAL TECHNOLOGIES INC.,1,1,directed,Mobility
Biochem Therapeutics Incorporated ,Bristol-Meyers Company ,1,1,directed,Mobility
Centre National de la Rechecch Scientifique ,Bristol-Meyers Company ,9,1,directed,Mobility
Gemin X Biotechnologies ,Bristol-Meyers Company ,1,1,directed,Mobility
Merck & Co. Inc.,Bristol-Meyers Company ,1,1,directed,Mobility
Merck Frosst Company ,Bristol-Meyers Company ,1,1,directed,Mobility
"Methyl Gene, Inc.",Bristol-Meyers Company ,1,1,directed,Mobility
ViiV Healthcare UK (No.,Bristol-Meyers Company ,2,1,directed,Mobility
Adaerata Limited Partnership ,British Columbia Cancer Agency Branch ,1,1,undirected,Cooperation
Hopital Maisonneuve-Rosemont ,British Columbia Cancer Agency Branch ,1,1,directed,Mobility
Humphries; Keith ,British Columbia Cancer Agency Branch ,1,1,directed,Mobility
Canadian Industries Limited ,C-I-L Inc.,3,0,directed,Mobility
L'Institut Armand-Frappier ,Canada Packers Limited ,1,1,directed,Mobility
The Institute of Microbiology and Hygiene of the University of Montreal ,Canada Packers Limited ,3,1,directed,Mobility
Ontario Research Foundation ,Canadian Patent and Development Ltd.,1,1,directed,Mobility
Complexe Hospitalier de la Sagamie ,Cancer Care Ontario ,1,1,directed,Mobility
Advanced Bioconcept ,"Caprion Pharmaceuticals, Inc.",1,1,directed,Mobility
"PerkinElmer LAS, Inc.","Caprion Pharmaceuticals, Inc.",1,1,directed,Mobility
FPINNOVATION ,Celluforce Inc.,1,1,directed,Mobility
Ibex Technologies ,Celmed Biosciences Inc.,1,1,directed,Mobility
ACEP Inc ,Centre de la Recherche Scientifique ,1,0,undirected,Cooperation
"Board of Regents, The University of Texas System ",Centre de la Recherche Scientifique ,1,1,directed,Mobility
Centre National de la Rechecch Scientifique ,Centre de la Recherche Scientifique ,4,0,directed,Mobility
National Research Coucil of Canada ,Centre de Recherche du Centre Hospitalier de l'Universite de Montreal ,1,1,directed,Mobility
ACADEMISCH ZIKENHUIS LEIDEN ,Centre Hospitalier de l'Universite de Montreal ,1,1,undirected,Cooperation
ARIZONA BOARD OF REGENTS ,Centre Hospitalier de l'Universite de Montreal ,1,1,undirected,Cooperation
Val-Chum Limited Partnership ,Centre Hospitalier de l'Universite de Montreal ,1,0,directed,Mobility
ACEP Inc ,Centre National de la Rechecch Scientifique ,12,1,undirected,Cooperation
Bristol-Meyers Company ,Centre National de la Rechecch Scientifique ,1,1,undirected,Cooperation
Clariant ,Centre National de la Rechecch Scientifique ,3,1,directed,Mobility
CNRS ,Centre National de la Rechecch Scientifique ,1,0,directed,Mobility
"Dai-Ichi Kogyo Seiyaku Co., Ltd.",Centre National de la Rechecch Scientifique ,1,1,directed,Mobility
"E. R. Squibb & Sons, Inc.",Centre National de la Rechecch Scientifique ,9,1,directed,Mobility
Hydro-Quebec ,Centre National de la Rechecch Scientifique ,8,1,directed,Mobility
Institute of Organic Chemistry National Academy of Sciences of Ukraine ,Centre National de la Rechecch Scientifique ,4,1,directed,Mobility
Phostech Lithium Inc.,Centre National de la Rechecch Scientifique ,2,1,directed,Mobility
Valorisation-Recherche L.P.,Centre National de la Rechecch Scientifique ,4,1,directed,Mobility
Corporation de I'Ecole Polytechnique ,"CERESTECH, INC.",1,0,directed,Mobility
H&ocirc ;pital Sainte-Justine ,Chaichem Pharmaceuticals International ,1,1,directed,Mobility
Haemacure Biotech Inc.,Chaichem Pharmaceuticals International ,1,1,directed,Mobility
C-I-L Inc.,"Chemetics International Company, Ltd.",1,0,directed,Mobility
Canadian Industries Limited ,"Chemetics International Company, Ltd.",1,0,directed,Mobility
Hopital Sainte-Justine ,Chu Sainte-Justine ,1,1,directed,Mobility
CNRS ,Clariant ,2,1,directed,Mobility
Hydro-Quebec ,Clariant ,2,1,directed,Mobility
Hydro-Quebec ,CNRS ,3,1,directed,Mobility
Hopital Sainte-Justine ,Complexe Hospitalier de la Sagamie ,1,1,directed,Mobility
McGill Univeristy ,Complexe Hospitalier de la Sagamie ,4,1,directed,Mobility
Institut National de Recherche Scientifique ,Concordia University ,1,1,directed,Mobility
ConjuChem Inc.,Conjuchem Biotechnologies Inc.,15,0,directed,Mobility
National Research Coucil of Canada ,Conseil National de Recherches Canada ,1,0,directed,Mobility
ACADEMISCH ZIKENHUIS LEIDEN ,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS ,1,1,undirected,Cooperation
ARIZONA BOARD OF REGENTS ,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS ,1,1,undirected,Cooperation
Centre Hospitalier de l'Universite de Montreal ,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS ,1,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,CONSORZIO INTERUNIVERSITARIO NAZIONALE PER LA SCIENZA E TECNOLOGIA DEI MATERIALI INSTM ,1,1,directed,Mobility
Astra AB ,"Cornell Research Foundation, Inc.",1,1,directed,Mobility
Bio-Chem Pharma Inc.,"Cornell Research Foundation, Inc.",1,1,directed,Mobility
Institut de Cardiologie de Montreal ,"Cornell Research Foundation, Inc.",3,1,directed,Mobility
Canadian Industries Limited ,Corporation de I'Ecole Polytechnique ,1,0,directed,Mobility
"Gas Metropolitain and Company, Limited ",Corporation de I'Ecole Polytechnique ,1,0,directed,Mobility
Merck Frosst Company ,Critical Outcome Technologies Inc.,1,1,directed,Mobility
Ecopia Biosciences Inc.,"Cubist Pharmaceuticals, Inc.",3,1,directed,Mobility
Bio-Chem Pharma Inc.,"Cytovia, Inc.",5,1,directed,Mobility
Gemin X Biotechnologies ,"Cytovia, Inc.",1,1,directed,Mobility
Shire Biochem Inc.,"Cytovia, Inc.",2,1,directed,Mobility
"Tetraphase Pharmaceuticals, Inc.","Cytovia, Inc.",1,1,directed,Mobility
"Viro Chem Pharma, Inc.","Cytovia, Inc.",1,1,directed,Mobility
Hydro-Quebec ,"Dai-Ichi Kogyo Seiyaku Co., Ltd.",3,1,directed,Mobility
"Tranzyme Pharma, Inc.",DALSA Semiconductor Inc.,1,1,directed,Mobility
Bio-Chem Pharma Inc.,"DANA-FARBER CANCER INSTITUTE, INC.",1,1,directed,Mobility
Boehringer Ingelheim International GmbH ,"DANA-FARBER CANCER INSTITUTE, INC.",1,1,directed,Mobility
