Source,Target,Weight,If_across
3M Innovative Properties Company, Kinney; Robert J.,1,1
3M Innovative Properties Company, Schutts; Scott M.,1,1
5N Plus Inc., Audet; Nicholas ,1,1
5N Plus Inc., Levitcharsky; Blagovest ,1,1
Abbott Laboratories , Bariana; Dilbagh S.,3,1
Abbott Laboratories , Bayrakdarian; Malken ,2,1
Abbott Laboratories , Bernstein; Edith ,1,1
Abbott Laboratories , Chen; Hui-Ju ,2,1
Abbott Laboratories , Chen; Yuanwei ,2,1
Abbott Laboratories , Chu; Daniel Tim-Wo ,2,1
Abbott Laboratories , Cimon; Denis G.,3,1
Abbott Laboratories , Cimon; Denis Gaston ,1,1
Abbott Laboratories , Degoey; David A.,2,1
Abbott Laboratories , Flosi; William J.,2,1
Abbott Laboratories , Fung; Anthony ,2,1
Abbott Laboratories , Fung; Anthony K. L.,2,1
Abbott Laboratories , Garmaise; David L.,1,1
Abbott Laboratories , Garmaise; David Lyon ,4,1
Abbott Laboratories , Giranda; Vincent L.,3,1
Abbott Laboratories , Grampovnik; David J.,2,1
Abbott Laboratories , Gu; Yu Gui ,3,1
Abbott Laboratories , Hanessian; Stephen ,3,1
Abbott Laboratories , Huckin; Stuart Nicholas ,1,1
Abbott Laboratories , Ishizuka; Naoyasu ,1,1
Abbott Laboratories , Jones; Peter H.,1,1
Abbott Laboratories , Kati; Warren M.,2,1
Abbott Laboratories , Kempf; Dale J.,3,1
Abbott Laboratories , Kennedy; April ,2,1
Abbott Laboratories , Klein; Larry L.,2,1
Abbott Laboratories , Krueger; Allan C.,2,1
Abbott Laboratories , Kyncl; Jaroslav ,1,1
Abbott Laboratories , Lall; Amrit ,1,1
Abbott Laboratories , Lin; Zhen ,2,1
Abbott Laboratories , Luo; Xuehong ,2,1
Abbott Laboratories , Madigan; Darold L.,3,1
Abbott Laboratories , Maring; Clarence J.,3,1
Abbott Laboratories , Martin; Yvonne C.,1,1
Abbott Laboratories , McDaniel; Keith F.,2,1
Abbott Laboratories , Morrison; Donald E.,1,1
Abbott Laboratories , Muchmore; Steven W.,2,1
Abbott Laboratories , Nakamoto; Hiromasa ,1,1
Abbott Laboratories , Paris; Gerald Y.,1,1
Abbott Laboratories , Paris; Gerard Y.,2,1
Abbott Laboratories , Paris; Gerard Yvon ,2,1
Abbott Laboratories , Pernet; Andre G.,2,1
Abbott Laboratories , Prasad; Raj Nandan ,1,1
Abbott Laboratories , Sham; Hing L.,2,1
Abbott Laboratories , Stewart; Kent ,1,1
Abbott Laboratories , Stewart; Kent D.,2,1
Abbott Laboratories , Stoll; Vincent S.,3,1
Abbott Laboratories , Sun; Minghua ,3,1
Abbott Laboratories , Tim-Wo Chu; Daniel ,1,1
Abbott Laboratories , Tu; Noah P.,2,1
Abbott Laboratories , Wagenaar; Frank L.,2,1
Abbott Laboratories , Wang; Gary T.,3,1
Abbott Laboratories , Wang; Jianchio ,1,1
Abbott Laboratories , Wang; Sheldon ,2,1
Abbott Laboratories , Wiedeman; Paul E.,2,1
Abbott Laboratories , Xu; Yibo ,2,1
Abbott Laboratories , Yeung; Ming C.,2,1
Abbott Laboratories , Zhao; Chen ,3,1
Abitibi Consolidated Inc., Bond; Luke David ,1,1
Abitibi Consolidated Inc., Downey; Kevin William ,1,1
Abitibi Consolidated Inc., Hazlebeck; David Alan ,1,1
Abitibi Consolidated Inc., Koutz; Stanley Lee ,1,1
Abitibi Consolidated Inc., Mills; Charles Cheslay ,1,1
Abitibi Consolidated Inc., Whiting; Philip ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Calandra; Thierry ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Esteban; Mariano ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Haddad; Elias (Port St.,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Harari; Alexandre ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Jacobs; Bertram ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Kibler; Karen ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Melief; Cornelius ,1,0
ACADEMISCH ZIKENHUIS LEIDEN , Pantaleo; Giuseppe ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Roger; Thierry ,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Sekaly; Rafick-Pierre (Port St.,1,1
ACADEMISCH ZIKENHUIS LEIDEN , Tartaglia; James ,1,1
ACEP Inc , Armand; Michel ,1,0
ACEP Inc , Baril; Daniel ,1,0
ACEP Inc , Bergeron; Jean-Yves ,1,1
ACEP Inc , Brouillette; Dany ,1,0
ACEP Inc , Michot; Christophe ,1,1
ACEP Inc , Armand; Michel ,2,1
ACEP Inc , Gauthier; Michel ,1,1
ACEP Inc , Michot; Christophe ,2,1
ACEP Inc , Ravet; Nathalie ,1,1
ACEP Inc , Armand; Michel ,9,0
ACEP Inc , Baril; Daniel ,1,0
ACEP Inc , Bergeron; Jean-Yves ,1,1
ACEP Inc , Bezdudny; Andrej ,2,1
ACEP Inc , Brouillette; Dany ,1,0
ACEP Inc , Choquette; Yves ,1,1
ACEP Inc , Gauthier; Michel ,2,1
ACEP Inc , Kondratenko; Natalya ,2,1
ACEP Inc , Michot; Christophe ,8,1
ACEP Inc , Ravet; Nathalie ,1,0
ACEP Inc , Yagupolskii; Lev ,2,1
ACEP Inc , Yagupolskii; Yurii ,2,1
ACEP Inc , Armand; Michel ,3,1
ACEP Inc , Gauthier; Michel ,3,1
ACEP Inc , Michot; Christophe ,3,1
ACEP Inc , Ravet; Nathalie ,3,1
"Achaogen, Inc.", Aggen; James Bradley ,1,1
"Achaogen, Inc.", Dozzo; Paola ,1,1
"Achaogen, Inc.", Giguere; Alexandre ,1,1
"Achaogen, Inc.", Gliedt; Micah James ,1,1
"Achaogen, Inc.", Goldblum; Adam Aaron ,1,1
"Achaogen, Inc.", Grzyb; Justyna ,1,1
"Achaogen, Inc.", Hanessian; Stephen ,1,1
"Achaogen, Inc.", Hildebrandt; Darin James ,1,1
"Achaogen, Inc.", Kane; Timothy Robert ,1,1
"Achaogen, Inc.", Linsell; Martin Sheringham ,1,1
"Achaogen, Inc.", Maianti; Juan Pablo ,1,1
Actelion Pharmaceuticals Ltd., Bremeyer; Nadine ,1,1
Actelion Pharmaceuticals Ltd., Campeau; Louis-Charles ,1,1
Actelion Pharmaceuticals Ltd., Chen; Austin Chih-Yu ,1,1
Actelion Pharmaceuticals Ltd., Dube; Daniel (St.,1,1
Actelion Pharmaceuticals Ltd., Fournier; Pierre-Andre ,1,1
Actelion Pharmaceuticals Ltd., Grimm; Erich L.,1,1
Actelion Pharmaceuticals Ltd., Lacombe; Patrick ,1,1
Actelion Pharmaceuticals Ltd., Laliberte; Sebastien (St.,1,1
Actelion Pharmaceuticals Ltd., Macdonald; Dwight ,1,1
Actelion Pharmaceuticals Ltd., MacKay; D.,1,1
Actelion Pharmaceuticals Ltd., McKay; Daniel James ,1,1
Actelion Pharmaceuticals Ltd., Scott; Jeremy Peter ,1,1
Actelion Pharmaceuticals Ltd., Wu; Tom Yao-Hsiang ,1,1
Adaerata Limited Partnership , Bernier; Lise ,2,0
