Label,City,Country,Patent Category,Region,Type,Country,Degree_normalized,Degree,Clossness_normalized,Closeness,Betweenness,Betweenness_normalized
 Dilip K.,Montreal,CA,Innovator,internal,business,within,0.000221631,1,0.000820381,1.82E-07,0,0
" Grey, Jr.",Mansfield,MA,Innovator,external,business,outside,0.000221631,1,0.00082149,1.82E-07,0,0
 Melan.cedilla.,Montreal,CA,Innovator,internal,business,within,0.000221631,1,0.000822067,1.82E-07,0,0
" Thomas, Jr.",West Linn,OR,Innovator,external,business,outside,0.000443262,2,0.000821456,1.82E-07,1121.151932,0.000110167
3M Innovative Properties Company,St. Paul,MN,Assignee,external,business,outside,0.000443262,2,0.000821177,1.82E-07,0.5,4.91E-08
5N Plus Inc.,Ville Saint-Laurent,CA,Assignee,external,business,within,0.000443262,2,0.00022168,4.91E-08,1,9.83E-08
Abitibi Consolidated Inc.,Montreal,CA,Assignee,internal,business,within,0.001329787,6,0.000221877,4.92E-08,15,1.47E-06
ACEP Inc ,Montreal,CA,Assignee,internal,business,within,0.00554078,25,0.000821634,1.82E-07,315.6191267,3.10E-05
"Achaogen, Inc.",South San Francisco,CA,Assignee,external,business,within,0.002437943,11,0.00082136,1.82E-07,32945,0.00323726
Actelion Pharmaceuticals Ltd.,Allschwil,CH,Assignee,external,business,outside,0.002881206,13,0.000821707,1.82E-07,24398.19826,0.002397429
Adaerata Limited Partnership ,Montreal,CA,Assignee,internal,business,within,0.003546099,16,0.000822252,1.82E-07,217347.552,0.021357127
Adherex Technologies ,Ottawa,CA,Assignee,external,business,within,0.001551418,7,0.000821604,1.82E-07,9894.8,0.000972288
"ADM Agri-Industries, Ltd.",Montreal,CA,Assignee,internal,business,within,0.000664894,3,0.000221877,4.92E-08,1.5,1.47E-07
Aegera Therapeutics Inc.,Montreal,CA,Assignee,internal,business,within,0.005319149,24,0.000821812,1.82E-07,46074.69489,0.004527418
Aenorasis SA Pharmaceuticals and Medical Devices ,Athens,GR,Assignee,external,business,outside,0.001108156,5,0.000821223,1.82E-07,5040.661206,0.000495308
AERO MAG 2000 RRR INC.,Montreal,CA,Assignee,internal,business,within,0.000664894,3,0.000221729,4.91E-08,3,2.95E-07
Aero-Hydraulics Corporation ,Montreal,CA,Assignee,internal,business,within,0.000221631,1,0.000221631,4.91E-08,0,0
AFINA ENERGY INC.,Montreal,CA,Assignee,internal,business,within,0.000886525,4,0.00082168,1.82E-07,4611.6,0.000453148
Air Liquide Canada ,Montreal,CA,Assignee,internal,business,within,0.002216312,10,0.000222123,4.92E-08,45,4.42E-06
Aktiebolaget Astra ,Sodertalje,SE,Assignee,external,business,outside,0.000443262,2,0.000821567,1.82E-07,526.5930111,5.17E-05
Akzo Nobel ,Arnhem,NL,Assignee,external,business,outside,0.001329787,6,0.000821547,1.82E-07,9894,0.00097221
Alcan Internatinal Limited ,Montreal,CA,Assignee,internal,business,within,0.031693262,143,0.000819925,1.82E-07,521128.5,0.051207421
Alcan Research & Development Limited ,Montreal,CA,Assignee,internal,business,within,0.004654255,21,0.000818955,1.82E-07,59230.5,0.005820141
Alcon International Limited ,Montreal,CA,Assignee,internal,business,within,0.000664894,3,0.000818945,1.82E-07,3299.5,0.000324217
Alethia Biotherapeutics Inc.,Montreal,CA,Assignee,internal,business,within,0.003546099,16,0.000820918,1.82E-07,13192.27451,0.001296307
"Alexion Pharmaceuticals, Inc.",New Haven,CT,Assignee,external,business,outside,0.001551418,7,0.00082158,1.82E-07,11377.78773,0.001118011
"Alliance for Sustainable Energy, LLC ",Golden,CO,Assignee,external,business,outside,0.001108156,5,0.000221828,4.92E-08,10,9.83E-07
Altachem Pharma Ltd.,Edmonton,CA,Assignee,external,business,within,0.000443262,2,0.00022168,4.91E-08,1,9.83E-08
"Altegen, Inc.",Wilmington,DE,Assignee,external,business,outside,0.000443262,2,0.00022168,4.91E-08,1,9.83E-08
Ambrilia Biopharma Inc.,Verdun,CA,Assignee,external,business,within,0.001329787,6,0.000821718,1.82E-07,2667.905175,0.000262155
American Air Liquide Inc.,Fremont,CA,Assignee,external,business,within,0.001108156,5,0.000222123,4.92E-08,5,4.91E-07
American Cyanamid Company ,Stamford,CT,Assignee,external,business,outside,0.000443262,2,0.00022168,4.91E-08,1,9.83E-08
American Diagnostica Inc.,Greenwich,CT,Assignee,external,business,outside,0.001551418,7,0.000821608,1.82E-07,32911.66667,0.003233985
