"","number","Assignees","City","Country","date","year"
"1","4,093,804","Yeda Research and Development Co., Ltd.","Rehovot"," IL","       January 14",1977
"2","4,093,802","Yeda Research and Development Co., Ltd.","Rehovot"," IL","       January 14",1977
"3","4,031,083","Yeda Research and Development Co., Ltd.","Rehovot"," IL","       October 24",1975
"4","4,118,562","Yeda Research and Development Co. Ltd.","Rehovot"," IL","       January 14",1977
"5","4,045,438","Yeda Research and Development Co. Ltd.","Rehovot"," IL","       October 24",1975
"6","4,026,887","Yeda Research & Development Co. Ltd.","Rehovot"," IL","       October 24",1975
"7","7,157,601","Xerox Corporation ","Stamford"," CT","       February 28",2006
"8","7,087,752","Xerox Corporation ","Stamford"," CT","       March 26",2004
"9","6,860,928","Xerox Corporation ","Stamford"," CT","       September 4",2002
"10","6,835,833","Xerox Corporation ","Stamford"," CT","       February 2",2004
"11","6,811,595","Xerox Corporation ","Stamford"," CT","       September 4",2002
"12","6,761,758","Xerox Corporation ","Stamford"," CT","       September 4",2002
"13","6,872,243","Xerox Corporation ","Stamford"," CT","       September 4",2002
"14","5,484,475","Xerox Corporation ","Stamford"," CT","       August 29",1994
"15","5,122,187","Xerox Corporation ","Stamford"," CT","       January 17",1991
"16","5,006,170","Xerox Corporation ","Stamford"," CT","       June 22",1989
"17","7,504,502","Xerox Corporation ","Norwalk"," CT","       January 22",2008
"18","7,504,502","University of Montreal ","Montreal"," CA","       January 22",2008
"19","7,371,858","Xerox Corporation ","Norwalk"," CT","       March 5",2004
"20","6,693,198","Xanthus Life Sciences, Inc.","Montreal"," CA","       April 22",2002
"21","7,683,182","Wyeth LLC ","Madison"," NJ","       March 6",2006
"22","RE41,253","Wyeth ","Madison"," NJ","       October 26",2007
"23","7,683,051","Wyeth ","Madison"," NJ","       April 6",2005
"24","RE41,084","Wyeth ","Madison"," NJ","       December 22",2006
"25","7,579,478","Wyeth ","Madison"," NJ","       March 6",2006
"26","7,439,364","Wyeth ","Madison"," NJ","       December 4",2006
"27","7,432,377","Wyeth ","Madison"," NJ","       January 14",2005
"28","7,365,203","Wyeth ","Madison"," NJ","       September 10",2004
"29","7,294,740","Wyeth ","Madison"," NJ","       May 18",2007
"30","7,227,037","Wyeth ","Madison"," NJ","       February 5",2003
"31","7,166,723","Wyeth ","Madison"," NJ","       November 18",2005
"32","7,126,025","Wyeth ","Madison"," NJ","       January 15",2004
"33","7,038,052","Wyeth ","Madison"," NJ","       December 12",2003
"34","6,960,686","Wyeth ","Madison"," NJ","       September 22",2004
"35","6,806,366","Wyeth ","Madison"," NJ","       January 31",2002
"36","6,693,197","Wyeth ","Madison"," NJ","       May 14",2002
"37","5,034,265","Washington Research Foundation ","Seattle"," WA","       August 21",1989
"38","6,780,842","Warner-Lambert Company LLC ","Morris Plains"," NJ","       November 5",2001
"39","7,288,548","ViroChem Pharma, Inc.","Laval"," Quebec, CA","       September 10",2004
"40","7,709,642","Virochem Pharma, Inc.","Laval"," Quebec, CA","       June 23",2005
"41","7,402,608","ViroChem Pharma Inc.","Quebec"," CA","       December 9",2003
"42","8,076,349","Virochem Pharma Inc.","Quebec"," CA","       December 9",2005
"43","7,960,403","Virochem Pharma Inc.","Quebec"," CA","       December 9",2005
"44","7,569,600","ViroChem Pharma Inc.","Laval QC"," CA","       May 15",2006
"45","7,351,713","Viro Chem Pharma, Inc.","Laval"," CA","       September 10",2004
