"","number","Inventors","City","Country","date","year"
"1","9,636,387"," Abdul-Wahid; Aws ","Montreal"," CA","August 18",2014
"2","9,636,387"," Gariepy; Jean ","Toronto"," CA ,CA","August 18",2014
"3","8,846,050"," Abdul-Wahid; Aws ","Montreal"," CA","May 11",2011
"4","8,846,050"," Gariepy; Jean ","Toronto"," CA ,CA","May 11",2011
"5","4,772,302"," Abe; Koichi ","Ottawa"," CA ,CA","       February 9",1987
"6","4,648,891"," Abe; Koichi ","Ottawa"," CA ,CA","       April 8",1985
"7","4,643,751"," Abe; Koichi ","Ottawa"," CA ,CA","       June 17",1985
"8","4,292,063"," Abe; Koichi ","Ottawa"," CA ,CA","       May 5",1980
"9","9,487,474"," Abou-Khalil; Elie ","Rosemere"," CA","May 31",2013
"10","9,487,474"," Raeppel; Stephane ","Saint-Lazare"," CA","May 31",2013
"11","9,487,474"," Raeppel; Franck ","Montreal"," CA ,CA","May 31",2013
"12","9,510,900"," Abou-Marie; Rund ","Mississauga"," CA","November 8",2010
"13","9,510,900"," Juzkiw; Taras ","Mississauga"," CA","November 8",2010
"14","9,510,900"," Davies; Gareth ","Toronto"," CA","November 8",2010
"15","9,510,900"," Luk; Maria ","Toronto"," CA","November 8",2010
"16","9,510,900"," Leung; Ramsey ","Toronto"," CA","November 8",2010
"17","9,510,900"," Mosley; Mark ","Toronto"," CA","November 8",2010
"18","9,510,900"," Wong; Christine ","Toronto"," CA","November 8",2010
"19","9,510,900"," Albert; Kelly ","Brampton"," CA ,CA","November 8",2010
"20","4,161,608"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       January 27",1978
"21","4,161,608"," Bagli; Jehan F.","Kirkland"," CA","       January 27",1978
"22","4,161,608"," Bogri; Tibor ","Montreal"," CA ,CA","       January 27",1978
"23","4,100,343"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","November 11",1976
"24","4,100,343"," Bagli; Jehan F.","Kirkland"," CA","November 11",1976
"25","4,100,343"," Bogri; Tibor ","Montreal"," CA ,CA","November 11",1976
"26","4,089,898"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       November 11",1976
"27","4,089,898"," Bagli; Jehan F.","Kirkland"," CA","       November 11",1976
"28","4,089,898"," Bogri; Tibor ","Montreal"," CA ,CA","       November 11",1976
"29","4,036,856"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       November 11",1976
"30","4,036,856"," Bagli; Jehan F.","Kirkland"," CA","       November 11",1976
"31","4,036,856"," Bogri; Tibor ","Montreal"," CA ,CA","       November 11",1976
"32","4,006,136"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       July 19",1974
"33","4,006,136"," Bagli; Jehan F.","Kirkland"," CA","       July 19",1974
"34","4,006,136"," Bogri; Tibor ","Montreal"," CA ,CA","       July 19",1974
"35","4,144,251"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       December 2",1977
"36","4,144,251"," Bagli; Jehan F.","Kirkland"," CA","       December 2",1977
"37","4,144,251"," Bogri; Tibor ","Montreal"," CA ,CA","       December 2",1977
"38","4,092,427"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       June 15",1976
"39","4,092,427"," Bagli; Jehan F.","Kirkland"," CA","       June 15",1976
"40","4,092,427"," Bogri; Tibor ","Montreal"," CA ,CA","       June 15",1976
"41","4,048,329"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       June 15",1976
"42","4,048,329"," Bagli; Jehan F.","Kirkland"," CA","       June 15",1976
"43","4,048,329"," Bogri; Tibor ","Montreal"," CA ,CA","       June 15",1976
"44","4,007,171"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       April 10",1975
"45","4,007,171"," Bagli; Jehan F.","Kirkland"," CA","       April 10",1975
"46","4,007,171"," Bogri; Tibor ","Montreal"," CA ,CA","       April 10",1975
"47","3,987,081"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","April 10",1975
"48","3,987,081"," Bagli; Jehan F.","Kirkland"," CA","April 10",1975
"49","3,987,081"," Bogri; Tibor ","Montreal"," CA ,CA","April 10",1975
"50","3,959,263"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       June 19",1974
"51","3,959,263"," Bagli; Jehan F.","Kirkland"," CA","       June 19",1974
"52","3,959,263"," Bogri; Tibor ","Montreal"," CA ,CA","       June 19",1974
"53","4,048,328"," Abraham; Nedumparambil A.","Dollard des Ormeaux"," CA","       June 15",1976
"54","4,048,328"," Bagli; Jehan F.","Kirkland"," CA","       June 15",1976
"55","4,048,328"," Bogri; Tibor ","Montreal"," CA ,CA","       June 15",1976
"56","4,020,157"," Abraham; Nedumparambil A.","Dollard Des Ormeaux"," CA","       July 8",1975
"57","4,020,157"," Immer; Hans U. (Mt.","Mt. Royal"," CA","       July 8",1975
"58","4,020,157"," Nelson; Verner R.","Kirkland"," CA","       July 8",1975
"59","4,020,157"," Sestanj; Kazimir ","Pointe Claire"," CA ,CA","       July 8",1975
"60","4,501,899"," Abraham; Nedumparambil A.","Dollard-des Ormeaux"," CA","       August 16",1983
"61","4,501,899"," Demerson; Christopher A.","Montreal"," CA ,CA","       August 16",1983
"62","4,520,203"," Abraham; Nedumparambil A.","Dollard-des-Ormeaux"," CA","       August 16",1983
"63","4,520,203"," Demerson; Christopher A.","Montreal"," CA ,CA","       August 16",1983
"64","4,244,947"," Abraham; Nedumparampil A.","Dollard des Ormeaux"," CA","       August 13",1979
"65","4,244,947"," Bellini; Francesco ","Mount Royal"," CA","       August 13",1979
"66","4,244,947"," Immer; Hans U.","Mount Royal"," CA","       August 13",1979
"67","4,244,947"," Kobric; Marvin M. (St.","St. Laurent"," CA ,CA","       August 13",1979
"68","6,358,694"," Abramovitz; Mark ","Dollar des Ormeaux"," CA","       November 21",1997
"69","6,358,694"," Grygorczyk; Richard ","Dollar des Ormeaux"," CA","       November 21",1997
"70","6,358,694"," Metters; Kathleen ","Montreal"," CA","       November 21",1997
"71","6,358,694"," Nguyen; Truyen ","Dorval"," CA","       November 21",1997
"72","6,358,694"," Rushmore; Thomas H.","Dollar des Ormeaux"," CA","       November 21",1997
"73","6,358,694"," Slipetz; Deborah ","Outremont"," CA ,CA","       November 21",1997
"74","5,869,281"," Abramovitz; Mark ","Dollar des Ormeaux"," CA","       June 25",1993
"75","5,869,281"," Grygorczyk; Richard ","Dollar des Ormeaux"," CA","       June 25",1993
"76","5,869,281"," Metters; Kathleen ","Montreal"," CA","       June 25",1993
"77","5,869,281"," Nguyen; Truyen ","Dorval"," CA","       June 25",1993
"78","5,869,281"," Rushmore; Thomas H.","Dollar des Ormeaux"," CA","       June 25",1993
"79","5,869,281"," Slipetz; Deborah ","Outremont"," CA ,CA","       June 25",1993
"80","5,728,808"," Abramovitz; Mark ","Dollard de Ormeaux"," CA","       August 29",1995
"81","5,728,808"," Bole; Yves ","Outremont"," CA","       August 29",1995
"82","5,728,808"," Grygorczyk; Richard ","Dollard des Ormeaux"," CA","       August 29",1995
"83","5,728,808"," Metters; Kathleen ","Montreal"," CA","       August 29",1995
"84","5,728,808"," Rushmore; Thomas H.","Hatfield"," PA","       August 29",1995
"85","5,728,808"," Slipetz; Deborah M.","Outremont"," CA ,CA","       August 29",1995
"86","5,759,789"," Abramovitz; Mark ","Dollard des Ormeaux"," CA","       August 5",1996
"87","5,759,789"," Adam; Mohammed ","Kirkland"," CA","       August 5",1996
