Label,internal_relation,external_relation,City,Country,regions,classification,nations,degree_normalized,degree,clossness_normalized,closeness,betweenness,betweenness_normalized,eigenvector,ratio_internal_to_external
Hydro-Quabac ,10,45,Montreal,CA,internal,public institute,within,0.084337349,14,0.014532084,8.75E-05,763.8166667,0.055773397,0.515241114,0.222222222
McGill Univeristy ,10,47,Montreal,CA,internal,university,within,0.174698795,29,0.014580588,8.78E-05,2731.2,0.199430449,0.791943171,0.212765957
The Royal Institute for the Advancement of Learning,10,15,Montreal,CA,internal,public institute,within,0.078313253,13,0.014525726,8.75E-05,1213.4,0.088601679,0.356814752,0.666666667
Valorisation-Recherche L.P.,7,7,Montreal,CA,internal,business,within,0.036144578,6,0.014441061,8.70E-05,825,0.060240964,0.091373089,1
Valorbec S.E.C.,4,2,Montreal,CA,internal,business,within,0.012048193,2,0.006060606,3.65E-05,1,7.30E-05,1.23E-17,2
"RSEM, Limited Partnership ",3,1,Montreal,CA,internal,business,within,0.018072289,3,0.0143264,8.63E-05,0,0,0.017074491,3
The Sir Mortimer B.,3,4,Montreal,CA,internal,public institute,within,0.024096386,4,0.006134969,3.70E-05,4,0.000292077,5.00E-17,0.75
Adaerata Limited Partnership ,2,2,Montreal,CA,internal,business,within,0.024096386,4,0.014331348,8.63E-05,380,0.027747353,0.017372671,1
"Valorisation-Recherche, Societe en Commandite ",2,2,Montreal,CA,internal,business,within,0.018072289,3,0.006210483,3.74E-05,5,0.000365097,2.35E-17,1
Canadian Industries Limited ,1,1,Montreal,CA,internal,business,within,0.012048193,2,0.006060606,3.65E-05,1,7.30E-05,2.59E-17,1
Universite d'Angers ,17,56,Angers,FR,external,university,outside,0.162650602,27,0.014572908,8.78E-05,2088.066667,0.152469271,1,0.303571429
University of Vermont and State Agricultural College ,8,1,Burlington,VT,external,university,outside,0.006024096,1,0.014456153,8.71E-05,0,0,0.107470989,8
Centre National de la Rechecch Scientifique ,6,75,Paris,FR,external,public institute,outside,0.072289157,12,0.014542269,8.76E-05,1145.8,0.083665571,0.596998024,0.08
Institut National de la Sante et de la Recherche Medicale ,3,9,Paris,FR,external,public institute,outside,0.042168675,7,0.014514296,8.74E-05,173.8666667,0.012695631,0.422771588,0.333333333
Universite Louis Pasteur ,3,6,Paris,FR,external,university,outside,0.024096386,4,0.014423495,8.69E-05,0.333333333,2.43E-05,0.201796888,0.5
Hong Kong Polytechnic University ,3,1,Hong Kong,CN,external,university,outside,0.006024096,1,0.014402221,8.68E-05,0,0,0.0484217,3
Schering Corporation ,3,1,Kenilworth,NJ,external,business,outside,0.006024096,1,0.014390984,8.67E-05,0,0,0.057372401,3
ACEP Inc ,2,26,Ottawa,CA,external,business,within,0.030120482,5,0.014481375,8.72E-05,15.11666667,0.001103809,0.347258754,0.076923077
Societe Nationale Elf Aquitaine ,2,3,Courbevoie,FR,external,public institute,outside,0.006024096,1,0.014408471,8.68E-05,0,0,0.069921017,0.666666667
The Regents of the University of California ,2,3,Oakland,CA,external,university,within,0.030120482,5,0.014412224,8.68E-05,385,0.02811245,0.052600662,0.666666667
