Label,City,Country,regions,classification,nations,degree_normalized,degree,clossness_normalized,closeness,betweenness,betweenness_normalized,eigenvector,pagerank
" Pharmaceuticals, Ltd.",Changshu,CN,external,business,outside,0.006756757,2,0.003378378,1.14E-05,0,0,0,0.003367003
"3-Dimensional Pharmaceuticals, Inc.",Exton,PA,external,business,outside,0.006756757,2,0.006168594,2.08E-05,0,0,0.008079528,0.002370422
ABB Environmental Services Inc.,Windsor,CT,internal,business,outside,0.003378378,1,0.003389792,1.15E-05,0,0,0,0.002593503
Abb Lummus Global Inc.,Bloomfield,NJ,external,business,outside,0.003378378,1,0.006205971,2.10E-05,0,0,0.000170109,0.00134896
Abbott Laboratories ,Abbott Park,IL,external,public institute,outside,0.006756757,2,0.003435947,1.16E-05,0,0,0,0.002709698
Abbott Point of Care Inc.,Windsor,NJ,internal,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
"Accelrys Software, Inc.",San Diego,CA,external,business,within,0.003378378,1,0.006185869,2.09E-05,0,0,0.037360022,0.001132459
"AGIOS PHARMACEUTICALS, INC ",Cambridge,MA,external,business,outside,0.006756757,2,0.006186256,2.09E-05,5.886072261,0.000134816,0.085934101,0.001716353
Akzo Nobel N. V.,Arnhem,NL,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Alberta Oil Sands Technology & Research Authority ,Edmonton,CA,external,public institute,within,0.003378378,1,0.003412773,1.15E-05,0,0,0,0.00202617
Allied Products Corporation ,Pickering,CA,external,business,within,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
ALSTOM Technology Ltd ,Baden,CH,external,business,outside,0.003378378,1,0.003389792,1.15E-05,0,0,0,0.002593503
Aluguisse Holding A.G.,Neuhausen am Rheinfall,CH,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
American Can Company ,Greenwich,CT,external,business,outside,0.02027027,6,0.006231185,2.11E-05,4679.316667,0.107176286,0.016600047,0.004851166
American Home Products Corp.,New York,NY,external,business,outside,0.023648649,7,0.006227122,2.10E-05,4557,0.104374714,0.087991806,0.004960549
American Telephone and Telegraph Company ,New York,NY,external,business,outside,0.006756757,2,0.006186903,2.09E-05,536,0.012276683,0.03766346,0.002259335
Amersham Biosciences UK Limited ,Buckinghanshire,GB,external,business,outside,0.006756757,2,0.003378378,1.14E-05,0,0,0,0.003367003
"Amicus Therapeutics, Inc.",Cranbury,NJ,external,business,outside,0.010135135,3,0.003389831,1.15E-05,0,0,0,0.003738686
"AMIRA PHARMACEUTICALS, INC.",Princeton,NJ,external,business,outside,0.006756757,2,0.006185869,2.09E-05,0,0,0.074720045,0.001759868
Amoco Corporation ,Chicago,IL,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
"Anzon America, Inc.",Freehold,NJ,external,business,outside,0.003378378,1,0.003389792,1.15E-05,0,0,0,0.002593503
ARLANXEO Canada Inc.,Sarnia,CA,internal,business,within,0.010135135,3,0.006195579,2.09E-05,2.36007326,5.41E-05,1.42E-05,0.002146336
ARLANXEO Deutschland GmbH ,Dormagen,DE,external,business,outside,0.013513514,4,0.006194024,2.09E-05,9.615873016,0.000220244,1.02E-05,0.002713252
ARLANXEO Switzerland S.A.,Granges-Paccot,CH,external,business,outside,0.016891892,5,0.006179412,2.09E-05,1.35,3.09E-05,1.28E-05,0.003145947
ASTRAZENECA AB ,Sodertalje,SE,external,business,outside,0.006756757,2,0.003389792,1.15E-05,0,0,0,0.002593503
AT&T Bell Laboratories ,Murray Hill,NJ,external,public institute,outside,0.006756757,2,0.006170009,2.08E-05,405,0.009276225,0.003394314,0.002651471
"AT&T Technologies, Inc.",Berkeley Heights,NJ,external,business,outside,0.010135135,3,0.006135732,2.07E-05,137,0.003137884,2.83E-05,0.004091088
"Atochem North America, Inc.",Philadelphia,PA,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Audi AG ,Ingolstadt,DE,external,business,outside,0.010135135,3,0.00618096,2.09E-05,0,0,1.51E-07,0.003235576
Aventis Pharmaceuticals Inc.,Bridgewater,NJ,external,business,outside,0.003378378,1,0.003436187,1.16E-05,0,0,0,0.001434059
Ballard Power Systems Inc.,Burnaby,CA,external,business,within,0.003378378,1,0.006198044,2.09E-05,0,0,1.36E-06,0.001332504
BASF Aktiengesellschaft ,Ludwigshafen,DE,external,business,outside,0.010135135,3,0.006233416,2.11E-05,4752.76978,0.108858676,0.001528564,0.002661913
BASF Catalysts LLC ,Florham Park,NJ,external,business,outside,0.003378378,1,0.006205971,2.10E-05,0,0,0.000170109,0.00134896
BASF Corporation ,Florham Park,NJ,external,business,outside,0.027027027,8,0.006223848,2.10E-05,1510.183333,0.034589632,0.001902867,0.00794268
BASF SE ,Ludwigshafen,DE,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Bayer Aktiengesellschaft ,Leverkusen,DE,external,business,outside,0.033783784,10,0.006196358,2.09E-05,316.2190476,0.007242763,3.47E-05,0.006588724
Bayer CropScience AG ,Monheim,DE,external,business,outside,0.006756757,2,0.00619221,2.09E-05,0,0,0.011344185,0.002214378
Bayer Inc.,Sarnia,CA,internal,business,within,0.033783784,10,0.00621105,2.10E-05,490.9856532,0.011245663,6.47E-05,0.006329783
Bayer Rubber Inc.,Sarnia,CA,internal,business,within,0.013513514,4,0.006210789,2.10E-05,80.31666667,0.001839594,4.94E-05,0.002917453
Bell Telephone Laboratories ,Murray Hill,NJ,external,public institute,outside,0.006756757,2,0.006118357,2.07E-05,0,0,5.05E-06,0.002823333
BioGeneriX ,Ulm,DE,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
BioVeris Corporation ,Gaithersburg,MD,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
"BIOWA, Inc.",Princeton,NJ,external,business,outside,0.013513514,4,0.003389831,1.15E-05,1,2.29E-05,0,0.004914005
BJ Services Company ,Houston,TX,external,business,outside,0.003378378,1,0.00619221,2.09E-05,0,0,2.92E-06,0.001613929
Board of Governors of Wayne State University ,Detroit,MI,external,university,outside,0.010135135,3,0.003436147,1.16E-05,5,0.000114521,0,0.003890554
"Boehringer Ingelheim Pharmaceuticals, Inc.",Ridgefield,CT,external,business,outside,0.006756757,2,0.006168594,2.08E-05,0,0,0.008079528,0.002370422
BP Corporation North America Inc.,Warrenville,IL,external,business,outside,0.003378378,1,0.006194542,2.09E-05,0,0,1.36E-06,0.001389076
"Brandt Manufacturing Systems, Inc.",Deposit,NY,external,business,outside,0.003378378,1,0.003389792,1.15E-05,0,0,0,0.002593503
Brandt Technologies ,Windsor,NY,internal,business,outside,0.006756757,2,0.003389831,1.15E-05,1,2.29E-05,0,0.004914005
Bristol-Meyers Squibb Company ,Princeton,NJ,external,business,outside,0.064189189,19,0.00620363,2.10E-05,2169.221071,0.049684404,0.417916065,0.014024435
Cambrex Hydrogels ,Harriman,NY,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Canadian Patents and Development Limited ,Ottawa,CA,external,business,within,0.003378378,1,0.006194542,2.09E-05,0,0,1.36E-06,0.001389076
Carrier Corporation ,Farmington,CT,external,business,outside,0.006756757,2,0.006181476,2.09E-05,0,0,1.69E-07,0.002450624
"Caschem, Inc.",Bayonne,NJ,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
