Source,Target,Weight,If_across,Type
"3-Dimensional Pharmaceuticals, Inc.", Barnickel; Gerhard ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Bernotat-Danielowski; Sabine ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Cezanne; Bertram ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Devant; Ralf ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Dhanoa; Daljit ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Mederski; Werner ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Melzer; Guido ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Player; Mark ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Soll; Richard ,1,1,undirected
"3-Dimensional Pharmaceuticals, Inc.", Zhao; Bao-Ping ,1,1,undirected
ABB Environmental Services Inc., Sublette; Kerry L.,1,1,undirected
Abb Lummus Global Inc., Chapman; Paul J.,1,1,undirected
Abb Lummus Global Inc., Gartside; Robert J.,1,1,undirected
Abb Lummus Global Inc., Platvoet; Erwin M. J.,1,1,undirected
Abb Lummus Global Inc., Chapman; Paul ,1,1,undirected
Abb Lummus Global Inc., Gartside; Robert John ,1,1,undirected
Abb Lummus Global Inc., McCarthy; Frank D.,1,1,undirected
Abb Lummus Global Inc., Platvoet; Erwin M. J.,1,1,undirected
Abb Lummus Global Inc., Ponzi; Peter Robert ,1,1,undirected
Abbott Laboratories , Artiss; Joseph D.,1,1,undirected
Abbott Laboratories , Bensie; Jill M.,1,1,undirected
Abbott Laboratories , Raden; Daniel S.,1,1,undirected
Abbott Laboratories , Zak; Bennie ,1,1,undirected
Abbott Point of Care Inc., Cheadle; Rhonda J.,1,1,undirected
Abbott Point of Care Inc., Lauks; Imants R.,1,1,undirected
Abbott Point of Care Inc., Maczuszenko; Andrzej ,1,1,undirected
Abbott Point of Care Inc., Opalsky; David ,1,1,undirected
Abbott Point of Care Inc., Widrig Opalsky; Cindra A.,1,1,undirected
"Accelrys Software, Inc.", Diller; David J.,1,1,undirected
"Accelrys Software, Inc.", Merz Jr.; Kenneth M.,1,1,undirected
"Achillion Pharmaceuticals, Inc.", Chen; Dawei ,7,1,undirected
"Achillion Pharmaceuticals, Inc.", Deshpande; Milind ,6,1,undirected
"Achillion Pharmaceuticals, Inc.", Gadhachanda; Venkat ,2,1,undirected
"Achillion Pharmaceuticals, Inc.", Lee; Shouming ,1,1,undirected
"Achillion Pharmaceuticals, Inc.", Li; Shouming ,6,1,undirected
"Achillion Pharmaceuticals, Inc.", Liu; Cuixian ,7,1,undirected
"Achillion Pharmaceuticals, Inc.", Ohkanda; Junko ,5,1,undirected
"Achillion Pharmaceuticals, Inc.", Phadke; Avinash ,7,1,undirected
"Achillion Pharmaceuticals, Inc.", Quinn; Jesse ,7,1,undirected
"Achillion Pharmaceuticals, Inc.", Shen; Yiping ,5,1,undirected
"Achillion Pharmaceuticals, Inc.", Thurkauf; Andrew ,5,1,undirected
"Achillion Pharmaceuticals, Inc.", Wang; Xiangzhu ,7,1,undirected
"Achillion Pharmaceuticals, Inc.", Zhang; Suoming ,2,1,undirected
Adolor Corporation , Dolle; Roland E.,2,1,undirected
Adolor Corporation , Worm; Karin ,2,1,undirected
Adolor Corporation , Zhou; Q.,2,1,undirected
"Advanced Medicine East, Inc.", Branstrom; Arthur A.,1,1,undirected
"Advanced Medicine East, Inc.", Goldman; Robert C.,1,1,undirected
"Aero Chem Research Lab., Inc.", Dickson; Charles R.,1,0,undirected
"Aero Chem Research Lab., Inc.", Gould; Robert K. (E.,1,1,undirected
"AGIOS PHARMACEUTICALS, INC ", Cao; Sheldon ,1,1,undirected
