Label,City,Country,Patent Category,Regions,Types of Actors,Country,Degree_normalized,Degree,Clossness_normalized,Closeness,Betweenness,Betweenness_normalized
Bristol-Meyers Squibb Company ,Princeton,NJ,Assignee,external,business,outside,0.094581472,487,0.000454841,8.83E-08,1431865.605,0.108036579
Exxon Research & Engineering Co.,Florham Park,NJ,Assignee,external,business,outside,0.067974364,350,0.000454699,8.83E-08,897263.5149,0.067699985
Merck Sharp & Dohme ,Rahway,NJ,Assignee,external,business,outside,0.064284327,331,0.000454957,8.84E-08,1075483.969,0.081147007
Scheeing Corporation ,Kenilworth,NJ,Assignee,external,business,outside,0.038065644,196,0.000454941,8.84E-08,344802.059,0.026015874
Pharmacopeia Inc.,La Jolla,CA,Assignee,external,business,within,0.028743445,148,0.000454928,8.84E-08,946390.6023,0.071406704
United Technologies Corp.,Hartford,CT,Assignee,external,business,outside,0.027772383,143,0.000454709,8.83E-08,880418.1299,0.066428974
Wyeth ,Madison,NJ,Assignee,external,business,outside,0.027578171,142,0.000455013,8.84E-08,2406556.965,0.18157862
ExxonMobil Reasearch and Engineering Company ,Annandale,NJ,Assignee,external,business,outside,0.026995533,139,0.000454518,8.83E-08,272291.0558,0.020544801
International Fuel Cells ,Windsor,CT,Assignee,internal,business,outside,0.021751796,112,0.000454487,8.83E-08,170766.0143,0.012884572
Merck & Co.,Rayway,NJ,Assignee,external,business,outside,0.021751796,112,0.000454789,8.83E-08,285683.5134,0.021555284
Polymer Corporation Limited ,Sarnia,CA,Assignee,internal,business,within,0.020586522,106,0.000454832,8.83E-08,1219315.675,0.091999342
Lanxess Inc.,Sarnia,CA,Assignee,internal,business,within,0.018644397,96,0.000454685,8.83E-08,346577.6341,0.026149844
Combustion Engineering ,Windsor,CT,Assignee,internal,business,outside,0.01806176,93,0.000198216,3.85E-08,5340.833333,0.000402975
"Pharmacopeia Drug Disclovery, Inc.",Cranbury,NJ,Assignee,external,business,outside,0.017673335,91,0.000454927,8.84E-08,211753.9237,0.015977176
FMC Corporation ,Philadelphia,PA,Assignee,external,business,outside,0.015342785,79,0.00045484,8.83E-08,311546.3917,0.02350668
American Can Company ,Greenwich,CT,Assignee,external,business,outside,0.01417751,73,0.000455005,8.84E-08,2272182.259,0.171439831
Mobile Oil Corporation ,New York,NY,Assignee,external,business,outside,0.013206448,68,0.0004547,8.83E-08,249579.709,0.018831193
"UTC Fuel Cells, LLC ",Windsor,CT,Assignee,internal,business,outside,0.012235386,63,0.000454489,8.83E-08,127582.2234,0.009626285
"E. R. Squibb & Sons, Inc.",Princeton,NJ,Assignee,external,business,outside,0.011458536,59,0.000454615,8.83E-08,126624.669,0.009554036
John Wyeth & Bro.,Maidenhead,GB2,Assignee,external,business,outside,0.010875898,56,0.000454781,8.83E-08,94072.43636,0.007097918
Nova Chemicals ,International,CA,Assignee,external,business,within,0.010681686,55,0.000454603,8.83E-08,134406.0756,0.010141156
Rhodia Operations ,Aubervilliers,FR,Assignee,external,business,outside,0.010487473,54,0.000454391,8.82E-08,220653.3,0.016648649
Bayer Aktiengesellschaft ,Leverkusen,DE,Assignee,external,business,outside,0.010099048,52,0.000454618,8.83E-08,143987.2976,0.010864075
Exxon Chemical Patents Inc ,Linden,NJ,Assignee,external,business,outside,0.009904836,51,0.000454881,8.83E-08,1823052.699,0.137552278
Dow Global Technologies ,Midland,MI,Assignee,external,business,outside,0.009710623,50,0.00019716,3.83E-08,2228,0.000168106
International Business Machines Corporation ,Armonk,NY,Assignee,external,business,outside,0.009710623,50,0.000196194,3.81E-08,1181.666667,8.92E-05
Bayer Inc.,Sarnia,CA,Assignee,internal,business,within,0.009127986,47,0.000454617,8.83E-08,75093.56273,0.005665931
Rhodia Inc.,Cranbury,NJ,Assignee,external,business,outside,0.008739561,45,0.000454615,8.83E-08,354708.5667,0.026763336
"Rutgers, The State University ",New Brunswick,NJ,Assignee,external,university,outside,0.008545349,44,0.000196194,3.81E-08,1232.10119,9.30E-05
Lexicon Pharmaceuticals ,New Brunswick,NJ,Assignee,external,business,outside,0.008156924,42,0.000454614,8.83E-08,70856.08588,0.005346206
Imperial Chemical Industries Limited ,London,GB2,Assignee,external,business,outside,0.007962711,41,0.000195618,3.80E-08,703,5.30E-05
The Dexter Corporation ,Windsor,CT,Assignee,internal,business,outside,0.007380074,38,0.000196078,3.81E-08,1094,8.25E-05
