number,Assignees,City,Country,date,year
"9,592,487","ZONEFLOW REACTOR TECHNOLOGIES, LLC ",Windsor, CT,25-Jun,2014
"5,888,818",Zeneca Limited ,London, GB2,       November 25,1994
"5,306,692",Zeneca Limited ,London, GB,       February 7,1991
"4,617,249",Xerox Corporation ,Stamford, CT,       July 16,1985
"4,705,567",Xerox Corporation ,Stamford, CT,       October 17,1986
"4,692,188",Xerox Corporation ,Stamford, CT,       October 15,1985
"4,680,332",Xerox Corporation ,Stamford, CT,       January 24,1986
"7,790,751",Wyeth LLC ,New York, NY,       August 14,2006
"8,101,194",Wyeth LLC ,Madison, NJ,       October 11,2002
"7,981,912",Wyeth LLC ,Madison, NJ,       September 24,2009
"7,935,719",Wyeth LLC ,Madison, NJ,       October 5,2007
"7,919,490",Wyeth LLC ,Madison, NJ,       October 4,2007
"7,902,187",Wyeth LLC ,Madison, NJ,       August 22,2008
"7,884,109",Wyeth LLC ,Madison, NJ,       October 11,2007
"7,820,825",Wyeth LLC ,Madison, NJ,       March 14,2007
"7,781,591",Wyeth LLC ,Madison, NJ,       June 13,2007
"7,771,731",Wyeth LLC ,Madison, NJ,       May 17,2005
"7,754,895",Wyeth LLC ,Madison, NJ,       July 27,2006
"7,732,457",Wyeth LLC ,Madison, NJ,       January 31,2006
"7,723,368",Wyeth LLC ,Madison, NJ,       March 21,2008
"7,723,329",Wyeth LLC ,Madison, NJ,       August 14,2006
"7,705,030",Wyeth LLC ,Madison, NJ,       July 28,2008
"7,666,904",Wyeth LLC ,Madison, NJ,       September 19,2008
"8,048,658",Wyeth LLC ,Madison, NJ,       October 11,2002
"8,574,597",Wyeth LLC ,Madison, NJ,21-Dec,2007
"9,623,101",Wyeth Holdings LLC ,New York, NY,25-Apr,2012
"9,132,182",Wyeth Holdings LLC ,New York, NY,25-Apr,2012
"9,107,873",Wyeth Holdings LLC ,New York, NY,20-Mar,2009
"9,596,861",Wyeth Holdings LLC ,New York, NY,25-Apr,2012
"9,757,444",Wyeth Holdings LLC ,New York, NY,06-Aug,2015
"9,168,293",Wyeth Holdings LLC ,New York, NY,05-Mar,2015
"9,752,114",Wyeth Holdings LLC ,New York, NY,06-Aug,2015
"9,145,593",Wyeth Holdings LLC ,New York, NY,05-Mar,2015
"7,666,626",Wyeth Holdings Corporation ,Madison, NJ,       December 17,2008
"7,666,626",The Curators of the University of Missouri ,Columbia, MO,       December 17,2008
"7,615,229",Wyeth Holdings Corporation ,Madison, NJ,       March 13,2003
"7,615,229",The Curators of the University of Missouri ,Columbia, MO,       March 13,2003
"7,785,608",Wyeth Holdings Corporation ,Madison, NJ,       September 2,2003
"8,563,006",Wyeth Holdings Corporation ,Madison, NJ,21-Dec,2011
"8,563,007",Wyeth Holdings Corporation ,Madison, NJ,05-Jun,2013
"7,612,210",Wyeth ,Madison, NJ,       December 4,2006
"7,608,278",Wyeth ,Madison, NJ,       December 28,2004
"7,601,749",Wyeth ,Madison, NJ,       December 16,2008
"7,501,421",Wyeth ,Madison, NJ,       May 31,2007
"7,495,111",Wyeth ,Madison, NJ,       June 15,2006
"7,495,027",Wyeth ,Madison, NJ,       August 9,2004
"7,482,461",Wyeth ,Madison, NJ,       April 4,2007
"7,476,667",Wyeth ,Madison, NJ,       June 2,2008
"7,459,567",Wyeth ,Madison, NJ,       February 13,2006
"7,429,582",Wyeth ,Madison, NJ,       April 11,2007
"7,417,047",Wyeth ,Madison, NJ,       June 29,2006
"7,414,051",Wyeth ,Madison, NJ,       April 11,2007
"7,378,427",Wyeth ,Madison, NJ,       June 17,2005
"7,276,519",Wyeth ,Madison, NJ,       May 14,2004
"7,256,198",Wyeth ,Madison, NJ,       February 18,2005
"7,241,791",Wyeth ,Madison, NJ,       September 24,2003
"7,101,973",Wyeth ,Madison, NJ,       July 16,2004
"7,005,295",Wyeth ,Madison, NJ,       January 31,2001
"6,987,116",Wyeth ,Madison, NJ,       November 21,2003
"6,800,764",Wyeth ,Madison, NJ,       November 26,2002
"6,784,172",Wyeth ,Madison, NJ,       November 2,2001
"6,605,618",Wyeth ,Madison, NJ,       July 2,2002
"6,537,994",Wyeth ,Madison, NJ,       July 12,2001
"6,506,901",Wyeth ,Madison, NJ,       July 12,2001
"6,451,814",Wyeth ,Madison, NJ,       July 12,2001
"8,257,820","World Properties, Inc.",Lincolnwood, IL,       February 13,2009
"6,214,260","World Properties, Inc.",Lincolnwood, IL,       July 27,2000
"6,156,235","World Properties, Inc.",Lincolnwood, IL,       November 9,1998
"8,206,930","World Properties, Inc.",Lincolnwood, IL,       February 13,2009
"9,084,949",WESTERN NEW ENGLAND UNIVERSITY ,Springfield, MA,25-May,2012
"4,390,897","Western Electric Company, Inc.",New York, NY,       April 17,1981
"4,200,668","Western Electric Company, Inc.",New York, NY,       September 5,1978
"4,046,536","Western Electric Company, Inc.",New York, NY,       August 13,1976
"4,389,229","Western Electric Co., Inc.",New York, NY,       October 1,1981
"4,304,581","Western Electric Co., Inc.",New York, NY,       August 7,1980
"4,156,044","Western Electric Co., Inc.",New York, NY,       December 15,1977
"4,076,510","Western Electric Co., Inc.",New York, NY,       December 23,1976
"7,294,278",Wayne State University ,Detroit, MI,       November 4,2005
"7,294,278","TherOx, Inc.",Irvine, CA,       November 4,2005
"7,294,278","DynamOx, Inc.",Irvine, CA,       November 4,2005
"7,008,535",Wayne State University ,Detroit, MI,       August 4,2000
"7,008,535","TherOx, Inc.",Irvine, CA,       August 4,2000
"7,008,535","DynamOx, Inc.",Irvine, CA,       August 4,2000
"6,315,942",Wayne State University ,Detroit, MI,       January 28,2000
"6,241,802",Wayne State University ,Detroit, MI,       February 8,2000
"6,290,958",Wayne State University ,Detroit, MI,       January 28,2000
"4,798,799",Wayne State University ,Detroit, MI,       July 3,1986
"4,596,469",Wayne State University ,Detroit, MI,       May 13,1985
"9,034,349","Warsaw Orthopedic, Inc.",Warsaw, IN,23-Aug,2013
"8,545,831","Warsaw Orthopedic, Inc.",Warsaw, IN,31-May,2006
"7,388,023",Warner-Lambert Company LLC ,Morris Plains, NJ,       December 7,2006
"7,179,934",Warner-Lambert Company LLC ,Morris Plains, NJ,       September 24,2004
"6,924,377",Warner-Lambert Company ,Morris Plains, NJ,       April 23,2003
"4,495,286",Warner-Lambert Company ,Morris Plains, NJ,       May 25,1983
"4,405,997",Warner-Lambert Company ,Morris Plains, NJ,       May 25,1983
"8,432,603","View, Inc.",Milpitas, CA,22-Dec,2009
"9,477,129","View, Inc.",Milpitas, CA,07-Nov,2014
"9,664,974","View, Inc.",Milpitas, CA,22-Dec,2009
"10,207,479",VIAVI SOLUTIONS INC.,San Jose, CA,26-Jun,2017
"10,203,138",VIAVI SOLUTIONS INC.,San Jose, CA,26-Jun,2017
"10,242,788",VIAVI Solutions Inc.,San Jose, CA,22-May,2017
"10,061,065",VIAVI Solutions Inc.,San Jose, CA,18-Nov,2014
"10,041,171",VIAVI Solutions Inc.,San Jose, CA,18-Nov,2014
"9,845,398",VIAVI SOLUTIONS INC.,Milpitas, CA,18-Oct,2016
"9,508,475",VIAVI SOLUTIONS INC.,Milpitas, CA,03-Jan,2013
"9,435,574",VIAVI SOLUTIONS INC.,Milpitas, CA,03-Jan,2013
"9,662,925",Viavi Solutions Inc.,Milpitas, CA,19-Sep,2008
"4,978,616",Verax Corporation ,Lebanon, NH,       September 3,1987
"4,818,691",Verax Corporation ,Lebanon, NH,       September 3,1987
"8,883,846",UVic Industry Partnerships Inc.,Victoria," British Columbia, CA",15-Aug,2012
"8,227,120",UTC Power Corporation ,South Windsor, CT,       July 20,2007
"8,197,792",UTC Power Corporation ,South Windsor, CT,       October 25,2007
"7,871,957",UTC Power Corporation ,South Windsor, CT,       May 15,2007
"7,655,183",UTC Power Corporation ,South Windsor, CT,       February 28,2007
"7,612,011",UTC Power Corporation ,South Windsor, CT,       November 28,2006
"7,575,610",UTC Power Corporation ,South Windsor, CT,       June 7,2004
"8,288,054",UTC Power Corporation ,South Windsor, CT,       October 27,2005
"8,357,253",UTC Power Corporation ,South Windsor, CT,17-Dec,2007
"6,620,389","UTC Fuel Cells, LLC ",Windsor, CT,       June 21,2000
"8,206,490","UTC Fuel Cells, LLC ",South Windsor, CT,       September 20,2006
"7,195,742","UTC Fuel Cells, LLC ",South Windsor, CT,       July 26,2002
"7,166,263","UTC Fuel Cells, LLC ",South Windsor, CT,       March 28,2003
"7,128,768","UTC Fuel Cells, LLC ",South Windsor, CT,       December 9,2003
"7,033,557","UTC Fuel Cells, LLC ",South Windsor, CT,       September 27,2005
"6,979,505","UTC Fuel Cells, LLC ",South Windsor, CT,       June 9,2003
"6,932,848","UTC Fuel Cells, LLC ",South Windsor, CT,       March 28,2003
"6,828,048","UTC Fuel Cells, LLC ",South Windsor, CT,       November 6,2001
"6,821,494","UTC Fuel Cells, LLC ",South Windsor, CT,       July 31,2001
"6,746,650","UTC Fuel Cells, LLC ",South Windsor, CT,       June 14,1999
"6,703,151","UTC Fuel Cells, LLC ",South Windsor, CT,       April 18,2001
"6,548,200","UTC Fuel Cells, LLC ",South Windsor, CT,       April 10,2001
"6,455,182","UTC Fuel Cells, LLC ",South Windsor, CT,       May 9,2001
"6,746,982","UTC Fuel Cells, LLC ",South Windsor, CT,       December 27,2001
"6,841,283","UTC Fuel Cells, LLC ",South Windsor, CT,       October 21,2002
"6,969,411","UTC Fuel Cells, LLC (So.",So. Windsor, CT,       September 22,2004
"6,773,684","UTC Fuel Cells, LLC (So.",So. Windsor, CT,       March 23,2001
"6,667,014","UTC Fuel Cells, LLC (So.",So. Windsor, CT,       September 22,1998
"6,596,039","UTC Fuel Cells, LLC (So.",So. Windsor, CT,       June 30,1999
"6,726,836","UTC Fuel Cells, LLC (So.",So. Windsor, CT,       September 1,2000
"6,610,265","UTC Fuel Cells, LLC (So.",So. Windsor, CT,       January 10,2002
"6,533,924","UTC Fuel Cells, LLC (So.",So. Windsor, CT,       February 24,2000
"6,454,935","UTC Fuel Cells, LLC (S.",S. Windsor, CT,       December 22,1999
"4,632,929",USV Pharmaceutical Corp.,Tuckahoe, NY,       September 23,1985
"4,569,941",USV Pharmaceutical Corp.,Tarrytown, NY,       January 17,1985
"6,153,397","USF Filtration & Separations Group, Inc.",Timonium, MD,       March 15,1999
"5,993,880",UOP LLC ,Des Plaines, IL,       June 20,1997
"7,078,130",University of Windsor ,Windsor, CA,       November 25,2002
"10,251,379",University of Windsor ,Windsor, CA,27-Nov,2017
"10,221,462",University of Windsor ,Windsor, CA,27-Nov,2017
"8,507,707",University of Windsor ,Windsor, CA,13-May,2011
"9,023,317",University of Western Ontario ,London," Ontario, CA",25-Feb,2013
"8,383,083",University of Western Ontario ,London," Ontario, CA",30-Jun,2011
"7,018,610",University of Western Ontario ,London, CA,       March 4,2002
"5,057,581",University of Waterloo ,Waterloo, CA,       May 2,1990
"4,816,525",University of Waterloo ,Waterloo, CA,       July 6,1987
"4,812,528",University of Waterloo ,Waterloo, CA,       June 1,1988
"6,017,933",University of Saskatchewan Technologies Inc.,Saskatoon, CA,       January 28,1999
"6,017,933",Wayne State University ,Detroit, MI,       January 28,1999
"8,383,563",University of Ottawa Technology Transfer and Business Enterprise ,Ottawa," Ontario, CA",13-May,2010
"6,011,137",University of North Carolina at Chapel Hill ,Chapel Hill, NC,       April 3,1996
"6,011,137",Cytogen Corp.,Princeton, NJ,       April 3,1996
"5,981,207",University of North Carolina at Chapel Hill ,Chapel Hill, NC,       April 3,1996
"5,981,207",Cytogen Corp.,Princeton, NJ,       April 3,1996
"7,998,732",University of Kentucky Research Foundation ,Lexington, KY,       April 18,2006
"7,378,450",University of Connecticut ,Farmington, CT,       December 20,2002
"8,614,189",University of Connecticut ,Farmington, CT,21-Sep,2009
"8,362,201",University of Connecticut ,Farmington, CT,25-Jan,2011
"9,735,377",UNIVERSAL DISPLAY CORPORATION ,Ewing, NJ,30-Dec,2016
"7,851,072",Universal Display Corporation ,Ewing, NJ,       May 19,2006
"8,586,204",Universal Display Corporation ,Ewing, NJ,26-Aug,2010
"9,831,442",Universal Display Corporation ,Ewing, NJ,04-Nov,2016
"9,518,063",Universal Display Corporation ,Ewing, NJ,10-Jun,2015
"9,359,549",Universal Display Corporation ,Ewing, NJ,06-Apr,2010
"9,353,302",Universal Display Corporation ,Ewing, NJ,06-Apr,2010
"8,367,850",Universal Display Corporation ,Ewing, NJ,07-Aug,2008
