number,Inventors,cities,countries,date,year
"4,528,015", Abbott; Vaughan ,North Granby, CT,       March 4,1983
"4,528,015", Morris; Nicholas G.,Windsor, CT,       March 4,1983
"4,528,015", Lambert; Scott M.,Enfield, CT,       March 4,1983
"4,528,015", Letellier; Richard A.,East Windsor,CA,       March 4,1983
"5,310,422", Abdel-Latif; A.,Chadds Ford," PA ,CA",       December 1,1992
"5,266,713", Abram; Trevor S.,Marlow, GB2,       August 12,1992
"5,266,713", Norman; Peter ,Slough, GB2,       August 12,1992
"5,266,713", Tudhope; Stephen R.,Windsor, GB2,       August 12,1992
"5,266,713", Kluender; Harold C.,Trumbull, CT,       August 12,1992
"5,266,713", Schut; Robert N.,Orange, CT,       August 12,1992
"5,266,713", Meier; Heinrich ,Wuppertal, DE,       August 12,1992
"5,266,713", Rosentreter; Ulrich ,Wuppertal," DE ,CA",       August 12,1992
"4,367,152", Achia; Biddanda U.,Sarnia," CA ,CA",       January 30,1981
"4,592,832", Achia; Biddanda U.,Sarnia, CA,       April 25,1985
"4,592,832", DeKraker; Abraham R.,Sarnia, CA,       April 25,1985
"4,592,832", Rossi; Albert ,Warren," NJ ,CA",       April 25,1985
"4,517,076", Achia; Biddanda U.,Sarnia, CA,       December 9,1983
"4,517,076", Shaw; David H.,Baton Rouge, LA,       December 9,1983
"4,517,076", Bushnell; James D.,Berkeley Heights," NJ ,CA",       December 9,1983
"4,176,075", Achia; Biddanda U.,Sarnia, CA,       December 22,1978
"4,176,075", Shaw; David H.,Camlachie," CA ,CA",       December 22,1978
"7,977,431", Achten; Dirk ,Cologne, DE,       September 23,2010
"7,977,431", Klimpel; Michael ,Pulheim-Stommeln, DE,       September 23,2010
"7,977,431", Barriau; Emilie ,Mainz, DE,       September 23,2010
"7,977,431", Reif; Lothar ,Dormagen, DE,       September 23,2010
"7,977,431", Mottweiler; Renke ,Leverkusen, DE,       September 23,2010
"7,977,431", Berg; Heinrich ,Pulheim, DE,       September 23,2010
"7,977,431", Szentivanyi; Zsolt ,Leverkusen, DE,       September 23,2010
"7,977,431", Glander; Stefan ,Sarnia," CA ,CA",       September 23,2010
"7,825,193", Achten; Dirk ,Koln, DE,       December 1,2006
"7,825,193", Klimpel; Michael ,Pulheim-Stommeln, DE,       December 1,2006
"7,825,193", Barriau; Emilie ,Mainz, DE,       December 1,2006
"7,825,193", Reif; Lothar ,Dormagen, DE,       December 1,2006
"7,825,193", Mottweiler; Renke ,Leverkusen, DE,       December 1,2006
"7,825,193", Berg; Heinrich ,Pulheim, DE,       December 1,2006
"7,825,193", Szentivanyi; Zsolt ,Leverkusen, DE,       December 1,2006
"7,825,193", Glander; Ste{acute over ,Sarnia," CA ,CA",       December 1,2006
"7,169,937", Achten; Dirk ,Koln, DE,       September 15,2003
"7,169,937", Klimpel; Michael ,Pulheim-Stommeln, DE,       September 15,2003
"7,169,937", Barriau; Emilie ,Mainz, DE,       September 15,2003
"7,169,937", Reif; Lothar ,Dormagen, DE,       September 15,2003
"7,169,937", Mottweiler; Renke ,Leverkusen, DE,       September 15,2003
"7,169,937", Berg; Heinrich ,Pulheim, DE,       September 15,2003
